City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Mitu,CO,1.1983,-70.1733,83.68,65,82,4.76,broken clouds
79,Xingyi,CN,24.1877,102.817,49.3,91,0,3.2,clear sky
80,Barrow,US,71.2906,-156.7887,28.42,93,100,13.8,light snow
81,Taft,IR,31.7471,54.2088,48.15,43,75,4.61,broken clouds
82,Yellowknife,CA,62.456,-114.3525,-15.45,75,63,4.0,broken clouds
83,Porto Walter,BR,-8.2686,-72.7439,96.57,33,100,3.18,overcast clouds
84,Ilulissat,GL,69.2167,-51.1,23.02,86,100,27.63,light snow
85,Kaitangata,NZ,-46.2817,169.8464,58.24,51,12,10.42,few clouds
86,East London,ZA,-33.0153,27.9116,72.27,90,100,12.33,overcast clouds
87,Bengkulu,ID,-3.8004,102.2655,74.17,88,100,3.83,overcast clouds
88,Tiksi,RU,71.6872,128.8694,-11.85,100,100,14.43,overcast clouds
89,New Norfolk,AU,-42.7826,147.0587,53.92,52,5,1.99,clear sky
90,Saint George,US,37.1041,-113.5841,56.43,25,0,8.05,clear sky
91,Henties Bay,NA,-22.116,14.2845,60.87,88,5,6.44,clear sky
92,Mangrol,IN,21.1167,70.1167,72.55,40,0,9.91,clear sky
93,Severo-Kurilsk,RU,50.6789,156.125,28.8,86,48,10.4,light snow
94,Chokurdakh,RU,70.6333,147.9167,-0.83,97,100,9.71,overcast clouds
95,Mar Del Plata,AR,-38.0023,-57.5575,62.62,97,100,13.8,light rain
96,Ridgecrest,US,35.6225,-117.6709,59.02,24,0,3.44,clear sky
97,Cape Town,ZA,-33.9258,18.4232,67.26,77,31,3.0,scattered clouds
98,Taylor,US,32.3001,-99.8337,48.42,35,0,5.75,clear sky
99,Mercedes,AR,-34.6515,-59.4307,75.63,69,100,17.4,overcast clouds
100,Mahanje,TZ,-9.9333,35.3333,65.3,92,95,1.21,light rain
101,Buala,SB,-8.145,159.5921,80.35,82,100,4.99,moderate rain
102,Kaniv,UA,49.7518,31.46,29.01,58,96,9.73,overcast clouds
103,Port Hardy,CA,50.6996,-127.4199,28.22,77,67,14.36,broken clouds
104,Yatou,CN,37.15,122.3833,27.84,70,53,10.49,broken clouds
105,Cherskiy,RU,68.75,161.3,1.44,95,100,3.0,overcast clouds
106,Hermanus,ZA,-34.4187,19.2345,59.81,87,48,2.68,scattered clouds
107,Bara,NG,10.3744,10.7288,73.49,23,89,7.36,overcast clouds
108,Baruun-Urt,MN,46.6806,113.2792,-9.6,79,2,10.96,clear sky
109,Conneaut,US,41.9476,-80.5542,33.67,79,98,29.48,overcast clouds
110,Hilo,US,19.7297,-155.09,86.29,89,44,1.99,scattered clouds
111,Krasnogorodsk,RU,56.8357,28.2822,10.51,97,29,3.56,scattered clouds
112,Adrar,MR,20.5022,-10.0711,68.99,16,18,9.75,few clouds
113,Coihaique,CL,-45.5752,-72.0662,60.75,36,20,5.75,few clouds
