City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Pisco,PE,73.45,clear sky,-13.7,-76.2167,La Portada
375,San Vicente De Canete,PE,71.22,broken clouds,-13.0751,-76.3835,Hotel Colibrí
377,Rocha,UY,77.34,few clouds,-34.4833,-54.3333,Hotel Municipal
382,Caravelas,BR,76.73,heavy intensity rain,-17.7125,-39.2481,Pousada dos Navegantes
386,Pocone,BR,70.88,overcast clouds,-16.2567,-56.6228,Tuiuiu
395,Porto Novo,BJ,79.72,scattered clouds,6.4965,2.6036,Hôtel 6500 CFA
398,Kariba,ZW,72.41,clear sky,-16.5167,28.8,Lodge
401,Bermejo,AR,84.15,scattered clouds,-32.8833,-68.8,Muras Aparte Hotel
407,Takoradi,GH,79.52,overcast clouds,4.8845,-1.7554,Hillcrest
409,San Vicente,AR,70.93,light rain,-26.6167,-54.1333,Los Lapachos
410,Kavieng,PG,82.09,scattered clouds,-2.5744,150.7967,Kavieng Hotel
417,Ewa Beach,US,84.85,clear sky,21.3156,-158.0072,Hampton Inn & Suites Oahu/Kapolei
418,Isangel,VU,82.89,overcast clouds,-19.55,169.2667,Tanna Lodge
419,Chuy,UY,73.27,clear sky,-33.6971,-53.4616,Alerces
429,Cabo San Lucas,MX,82.62,few clouds,22.8909,-109.9124,Comfort Rooms
433,Langsa,ID,74.08,overcast clouds,4.4683,97.9683,Harmoni Hotel
437,Inhambane,MZ,71.8,light rain,-23.865,35.3833,Hotel de Inhambane
439,Mayumba,GA,77.23,broken clouds,-3.432,10.6554,Résidence Hôtelière Fabso
441,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,losmen Surya
445,Bubaque,GW,81.84,few clouds,11.2833,-15.8333,Chez Julio
447,Kousseri,CM,74.32,broken clouds,12.0769,15.0306,Hôtel le CONFORT FREDI
459,Sao Felix Do Xingu,BR,77.38,overcast clouds,-6.6447,-51.995,Hotel Terraço
470,Viamao,BR,77.68,scattered clouds,-30.0811,-51.0233,Hotel Itália
476,Jacareacanga,BR,85.78,overcast clouds,-6.2222,-57.7528,Hotel São Cristovão
481,Catamarca,AR,81.07,scattered clouds,-28.4696,-65.7852,Hotel de Turismo
485,Grand Gaube,MU,74.37,scattered clouds,-20.0064,57.6608,Coco Villa
491,Axim,GH,79.05,overcast clouds,4.8699,-2.2405,Axim Beach Hotel
498,Sibolga,ID,75.13,overcast clouds,1.7427,98.7792,Hotel Prima Indah
499,Intipuca,SV,85.95,overcast clouds,13.1969,-88.0544,Hotel Pacific Paradise
510,Catia La Mar,VE,82.99,scattered clouds,10.6038,-67.0303,Posada La Parada
511,Isla Mujeres,MX,84.25,scattered clouds,21.2311,-86.731,Villa La Bella
515,Kuching,MY,78.03,few clouds,1.55,110.3333,Hotel Samudera
523,Moron,AR,78.98,broken clouds,-34.6534,-58.6198,La Esquina
525,Berbera,SO,77.43,clear sky,10.4396,45.0143,Al Madina Hotel
529,San Nicolas,PH,75.11,thunderstorm,18.1725,120.5953,Mira de Polaris Hotel
533,Dakar,SN,77.88,few clouds,14.6937,-17.4441,翁记小吃
534,Santa Cruz Cabralia,BR,77.23,moderate rain,-16.2781,-39.0247,Campo Bahia Resort
535,Nacala,MZ,71.6,few clouds,-14.5428,40.6728,Indico Apart Hotel 2
539,Meulaboh,ID,75.18,overcast clouds,4.1363,96.1285,Hotel Meuligou
562,Pedernales,DO,81.36,few clouds,18.0384,-71.744,Hostal Doña Chava
571,Semporna,MY,78.49,overcast clouds,4.4818,118.6112,Sipadan Inn II
578,Itaituba,BR,84.31,overcast clouds,-4.2761,-55.9836,TG Hotel
580,Atar,MR,73.09,clear sky,20.5169,-13.0499,فندق سكليل
581,Mabaruma,GY,77.25,scattered clouds,8.2,-59.7833,Monty Brooms Hotel
604,Altamira,BR,86.09,few clouds,-3.2033,-52.2064,Hotel Vale do Xingu
606,Cape Coast,GH,79.7,overcast clouds,5.1053,-1.2466,Mighty Victory Hotel
608,Cascavel,BR,75.99,light rain,-24.9558,-53.4553,Hotel Copas Verdes
612,Kaduqli,SD,79.52,overcast clouds,11.0167,29.7167,South Kordofan Hotel
614,Senanga,ZM,72.12,clear sky,-16.1167,23.2667,Senanga Safari Lodge
615,Port Moresby,PG,76.42,scattered clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
617,Pathein,MM,76.15,broken clouds,16.7833,94.7333,Taan Taan Ta
619,Tuban,ID,76.42,overcast clouds,-6.8976,112.0649,Hotel Saras
626,Pacocha,PE,71.74,clear sky,-17.5833,-71.3333,Gran Hotel Ilo
632,Itarema,BR,80.04,overcast clouds,-2.9248,-39.9167,Pousada Oásis
636,Oussouye,SN,76.26,few clouds,12.485,-16.5469,Campement Alulum
639,Araceli,PH,82.71,overcast clouds,10.5529,119.9913,ARPA Lodge
642,Garowe,SO,72.32,clear sky,8.4054,48.4845,Red Sea
645,Key Largo,US,81.0,broken clouds,25.0865,-80.4473,Key Largo Inn
647,Bacolod,PH,77.83,overcast clouds,10.6667,122.95,Northwest Inn
651,Eyl,SO,77.54,clear sky,7.9803,49.8164,فندق ايل دابي
654,Estancia,BR,73.49,moderate rain,-11.2683,-37.4383,Jardim
661,Nabire,ID,73.99,overcast clouds,-3.3667,135.4833,Hotel Anggrek
672,Calabozo,VE,80.28,broken clouds,8.9242,-67.4293,Best Western Hotel Plaza Real
675,Ndjole,GA,76.17,light rain,-0.1783,10.7649,Motel Kedyann
680,Vao,NC,77.68,overcast clouds,-22.6667,167.4833,Nataiwatch
690,Sokolo,ML,84.42,overcast clouds,14.7328,-6.1219,Mairie de la Commune de Sokolo
691,Toamasina,MG,73.69,few clouds,-18.1667,49.3833,Androranga
696,Cantagallo,CO,83.25,overcast clouds,7.376,-73.9196,Hotel Donde Mary
697,San Cristobal,VE,71.78,scattered clouds,7.7669,-72.225,Terra Sur
698,Muisne,EC,77.41,broken clouds,0.6,-80.0333,Hostal Té de Menta
